0.000000 3.000000E-02 1.000000E+00 2.236068E+02
0.186499 3.102432E-02 1.034144E+00 2.273922E+02
0.366341 3.204507E-02 1.068169E+00 2.311027E+02
0.543314 3.308237E-02 1.102746E+00 2.348133E+02
0.717507 3.413609E-02 1.137870E+00 2.385236E+02
0.889007 3.520635E-02 1.173545E+00 2.422339E+02
1.057897 3.629302E-02 1.209767E+00 2.459438E+02
1.224254 3.739617E-02 1.246539E+00 2.496537E+02
1.388154 3.851588E-02 1.283863E+00 2.533636E+02
1.549667 3.965200E-02 1.321733E+00 2.570733E+02
1.708863 4.080462E-02 1.360154E+00 2.607829E+02
1.865805 4.197382E-02 1.399127E+00 2.644927E+02
2.020561 4.315956E-02 1.438652E+00 2.682025E+02
2.173187 4.436175E-02 1.478725E+00 2.719122E+02
2.323741 4.558037E-02 1.519346E+00 2.756216E+02
2.472281 4.681541E-02 1.560514E+00 2.793307E+02
2.618858 4.806704E-02 1.602235E+00 2.830402E+02
2.763524 4.933510E-02 1.644503E+00 2.867494E+02
2.906327 5.061973E-02 1.687324E+00 2.904586E+02
3.047316 5.192084E-02 1.730695E+00 2.941679E+02
3.186535 5.323837E-02 1.774612E+00 2.978768E+02
3.324029 5.457244E-02 1.819081E+00 3.015859E+02
3.459844 5.592304E-02 1.864101E+00 3.052950E+02
3.594017 5.728995E-02 1.909665E+00 3.090036E+02
3.726584 5.867349E-02 1.955783E+00 3.127126E+02
3.857586 6.007355E-02 2.002452E+00 3.164216E+02
3.987062 6.149001E-02 2.049667E+00 3.201302E+02
4.115045 6.292306E-02 2.097435E+00 3.238391E+02
4.241573 6.437245E-02 2.145748E+00 3.275476E+02
4.366672 6.583846E-02 2.194616E+00 3.312564E+02
4.490373 6.732087E-02 2.244029E+00 3.349648E+02
4.612715 6.881974E-02 2.293991E+00 3.386732E+02
4.733712 7.033487E-02 2.344496E+00 3.423810E+02
4.853413 7.186675E-02 2.395558E+00 3.460894E+02
4.971835 7.341504E-02 2.447168E+00 3.497977E+02
5.089008 7.497985E-02 2.499328E+00 3.535059E+02
5.204956 7.656121E-02 2.552040E+00 3.572143E+02
5.319707 7.815897E-02 2.605299E+00 3.609224E+02
5.433280 7.977334E-02 2.659111E+00 3.646307E+02
5.545704 8.140417E-02 2.713472E+00 3.683390E+02
5.657007 8.305132E-02 2.768377E+00 3.720468E+02
